date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:29:30	95399/95399	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Aug%202018%2006:29:32%20GMT	http://kamleshyadav.com/html/catering/catering-default/	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/index.html	(from )
09:29:31	61/61	---MCZ	200	added ('OK')	text/plain	date:Thu,%2002%20Aug%202018%2006:29:32%20GMT	http://kamleshyadav.com/robots.txt		(from )
09:29:31	864/864	---MCZ	200	added ('OK')	text/css	date:Thu,%2002%20Aug%202018%2006:29:33%20GMT	http://kamleshyadav.com/html/catering/catering-default/css/main.css	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/css/main.css	(from http://kamleshyadav.com/html/catering/catering-default/)
09:29:31	4286/4286	---M--	200	added ('OK')	image/x-icon	date:Thu,%2002%20Aug%202018%2006:29:33%20GMT	http://kamleshyadav.com/html/catering/catering-default/favicon.ico	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/favicon.ico	(from http://kamleshyadav.com/html/catering/catering-default/)
09:29:33	95399/95399	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Aug%202018%2006:29:34%20GMT	http://kamleshyadav.com/html/catering/catering-default/index.html	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/index-2.html	(from http://kamleshyadav.com/html/catering/catering-default/)
09:29:34	99270/99270	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Aug%202018%2006:29:36%20GMT	http://kamleshyadav.com/html/catering/catering-default/index-1.html	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/index-1.html	(from http://kamleshyadav.com/html/catering/catering-default/)
09:29:35	101411/101411	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Aug%202018%2006:29:36%20GMT	http://kamleshyadav.com/html/catering/catering-default/index-2.html	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/index-3.html	(from http://kamleshyadav.com/html/catering/catering-default/)
09:29:36	101985/101985	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Aug%202018%2006:29:37%20GMT	http://kamleshyadav.com/html/catering/catering-default/index-3.html	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/index-4.html	(from http://kamleshyadav.com/html/catering/catering-default/)
09:29:37	97521/97521	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Aug%202018%2006:29:38%20GMT	http://kamleshyadav.com/html/catering/catering-default/index-4.html	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/index-5.html	(from http://kamleshyadav.com/html/catering/catering-default/)
09:29:37	97220/97220	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Aug%202018%2006:29:38%20GMT	http://kamleshyadav.com/html/catering/catering-default/index-5.html	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/index-6.html	(from http://kamleshyadav.com/html/catering/catering-default/)
09:29:37	58251/58251	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Aug%202018%2006:29:39%20GMT	http://kamleshyadav.com/html/catering/catering-default/about-us.html	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/about-us.html	(from http://kamleshyadav.com/html/catering/catering-default/)
09:29:38	53292/53292	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Aug%202018%2006:29:40%20GMT	http://kamleshyadav.com/html/catering/catering-default/menu.html	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/menu.html	(from http://kamleshyadav.com/html/catering/catering-default/)
09:29:38	52847/52847	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Aug%202018%2006:29:40%20GMT	http://kamleshyadav.com/html/catering/catering-default/service.html	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/service.html	(from http://kamleshyadav.com/html/catering/catering-default/)
09:29:39	47418/47418	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Aug%202018%2006:29:41%20GMT	http://kamleshyadav.com/html/catering/catering-default/contact.html	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/contact.html	(from http://kamleshyadav.com/html/catering/catering-default/)
09:29:52	71549/71549	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:29:42%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/dishes/dish1.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/dishes/dish1.jpg	(from http://kamleshyadav.com/html/catering/catering-default/)
09:29:53	105724/105724	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Aug%202018%2006:29:35%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/hand.png	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/hand.png	(from http://kamleshyadav.com/html/catering/catering-default/)
09:30:03	48932/48932	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:29:56%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/dishes/dish3.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/dishes/dish3.jpg	(from http://kamleshyadav.com/html/catering/catering-default/)
09:30:03	69727/69727	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:29:54%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/dishes/dish2.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/dishes/dish2.jpg	(from http://kamleshyadav.com/html/catering/catering-default/)
